เวลา,ค่า 1,ค่า 2,ค่า 3,ค่า 4,ค่า 5
00:00:45,1.34,122.4,3.12,50.59,38
00:01:06,1.13,139.3,2.95,52.16,38
00:01:27,1.27,139.9,2.80,52.49,38
00:01:48,1.38,139.4,3.10,52.69,38
00:02:08,1.31,139.4,3.02,52.69,39
00:02:29,1.28,139.4,2.93,52.69,39
00:02:50,1.35,139.7,2.83,53.51,39
00:03:15,1.28,139.8,2.94,53.74,39
00:03:36,0.87,140.3,2.97,53.78,39
00:03:57,1.34,140.5,2.96,53.89,39
00:04:17,1.27,140.5,2.93,53.89,39
00:04:37,1.33,140.5,3.00,53.89,39
00:04:57,1.30,140.5,2.94,53.89,39
00:05:20,1.27,140.5,2.96,53.89,39
00:05:40,1.30,140.5,2.87,53.89,39
00:06:00,1.32,140.5,3.08,53.89,40
06:21:00,1.27,140.5,2.95,53.89,39
00:06:41,1.26,140.0,3.08,54.51,39
00:07:02,1.30,139.8,2.93,54.61,40
00:07:23,1.38,139.8,3.01,54.61,40
00:07:43,1.37,139.8,3.02,54.61,40
00:08:03,1.31,139.8,3.00,54.61,40
00:08:30,1.31,140.2,2.91,54.68,39
00:08:50,0.81,140.1,2.62,54.79,39
00:09:11,1.33,139.7,2.94,54.67,40
00:09:34,1.27,139.7,3.06,54.67,40
00:09:54,0.84,139.9,2.49,54.86,39
00:10:14,1.06,140.8,2.58,54.87,39
00:10:34,1.08,140.6,2.49,54.88,39
00:10:54,0.77,140.2,2.53,54.86,39
00:11:14,1.07,140.7,2.51,54.92,39
00:11:34,0.76,140.0,2.47,54.95,39
00:11:54,1.34,138.8,3.01,55.06,40
00:12:15,1.44,138.8,3.10,55.06,40
00:12:35,1.40,138.8,3.10,55.06,40
00:12:56,1.38,138.8,3.07,55.06,40
00:13:18,1.44,138.8,3.10,55.06,40
00:13:39,1.09,138.3,3.13,55.22,40
00:14:00,1.50,138.2,3.05,55.42,40
00:14:20,1.46,138.5,3.05,55.49,40
00:14:53,1.41,138.6,3.03,55.52,40
00:15:16,1.46,138.4,2.94,55.53,40
00:15:41,1.40,138.4,3.07,55.52,40
00:16:04,1.42,138.4,3.21,55.51,40
00:16:27,1.04,138.6,3.32,55.54,40
00:17:16,1.42,139.3,3.19,55.60,40
00:17:36,1.37,139.3,3.12,55.68,40
00:17:57,1.34,139.3,3.09,55.68,40
00:18:17,1.41,139.3,3.06,55.68,40
00:18:48,1.38,139.3,3.04,55.68,40
00:19:14,1.34,139.8,3.07,55.70,40
00:19:42,0.82,139.6,3.04,55.84,40
00:20:13,1.35,139.4,2.88,55.87,40
00:20:34,1.34,139.4,2.87,55.88,40
00:20:55,1.30,139.4,2.87,55.88,40
00:21:18,1.30,139.4,2.87,55.88,40
00:21:38,1.32,140.0,2.93,55.93,40
00:21:58,1.31,140.1,2.99,55.95,40
00:22:19,1.06,139.6,2.83,55.86,40
00:22:40,1.03,139.7,2.80,55.85,40
00:23:14,1.35,139.5,2.96,55.85,40
00:23:38,1.34,140.5,2.82,55.90,40
00:23:58,1.28,140.1,2.87,55.90,40
00:24:18,1.01,139.8,2.73,55.91,40
00:24:39,1.19,140.1,2.73,55.91,40
00:24:59,1.23,140.5,2.72,55.90,40
00:25:19,1.06,140.1,2.63,55.95,40
00:25:39,1.18,140.7,2.75,55.92,40
00:25:59,0.84,139.9,2.69,55.90,40
00:26:19,1.11,140.9,2.49,55.90,40
00:26:39,0.80,140.3,2.66,55.91,40
00:26:59,0.84,140.7,2.52,55.87,40
00:27:19,0.79,140.3,2.58,55.89,40
00:27:39,1.15,140.6,2.53,55.89,40
00:27:59,0.82,140.4,2.53,55.86,40
00:28:19,0.75,140.1,2.59,55.90,40
00:28:39,0.98,140.5,2.48,55.90,40
00:28:59,0.90,140.3,2.37,55.84,40
00:29:19,1.07,140.4,2.49,55.91,40
00:29:39,0.98,141.1,2.35,55.84,40
00:29:59,0.87,140.9,2.34,55.89,40
00:30:19,0.91,141.5,2.38,55.89,40
00:30:39,0.83,140.4,2.33,55.89,40
00:30:59,1.06,140.5,2.37,55.88,40
00:31:19,1.05,140.6,2.39,55.87,40
00:31:39,0.87,140.4,2.37,55.91,40
00:31:59,0.80,140.8,2.52,55.93,40
00:32:19,0.99,140.7,2.32,55.88,40
00:32:39,0.80,140.9,2.54,55.91,40
00:32:59,0.91,140.8,2.41,55.87,40
00:33:19,0.86,140.4,2.28,55.91,40
00:33:39,0.91,140.7,2.25,55.85,40
00:34:00,0.75,141.2,2.34,55.90,40
00:34:20,0.73,141.0,2.29,55.91,40
00:34:40,0.89,141.6,2.25,55.87,40
00:35:00,0.88,141.8,2.14,55.87,40
00:35:20,0.82,141.0,2.23,55.85,40
00:35:40,1.03,141.2,2.23,55.89,40
00:36:00,0.91,141.8,2.18,55.87,40
00:36:20,0.70,141.1,2.08,55.87,40
00:36:40,0.86,141.2,2.21,55.87,40
00:37:00,0.73,141.3,2.23,55.91,40
00:37:20,0.95,141.2,2.22,55.89,40
00:37:40,0.67,141.2,2.11,55.89,39
00:38:00,0.95,141.4,2.16,55.87,40
00:38:20,0.87,141.8,2.16,55.83,40
00:38:40,0.94,141.3,2.24,55.89,39
00:39:00,0.94,141.4,2.29,55.92,40
00:39:20,0.98,141.5,2.03,55.90,40
00:39:40,0.72,141.7,2.13,55.89,39
00:40:01,0.95,141.3,2.05,55.86,40
00:40:21,0.94,141.2,2.26,55.92,40
00:40:41,0.66,141.2,2.03,55.88,39
00:41:01,0.76,141.6,2.08,55.92,39
00:41:21,0.61,141.5,2.09,55.91,39
00:41:41,0.59,141.6,2.11,55.91,39
00:42:01,0.82,141.9,1.98,55.89,39
00:42:21,0.98,141.6,2.02,55.91,39
00:42:41,0.67,141.7,2.10,55.87,39
00:43:01,0.84,141.8,1.90,55.86,39
00:43:21,0.62,141.7,1.98,55.91,39
00:43:41,0.57,141.9,1.98,55.92,39
00:44:01,0.80,142.1,1.95,55.90,39
00:44:21,0.63,142.2,1.88,55.94,39
00:44:41,0.84,141.8,2.04,55.89,39
00:45:01,0.78,141.9,1.88,55.90,39
00:45:21,0.55,142.3,1.86,55.87,39
00:45:41,0.63,142.2,2.04,55.96,39
00:46:01,0.60,142.5,1.82,55.91,39
00:46:22,0.83,142.4,1.88,55.89,39
00:46:42,0.68,142.1,1.84,55.87,39
00:47:02,0.76,142.6,1.88,55.90,39
00:47:22,0.81,142.4,1.95,55.93,39
00:47:42,0.56,142.4,1.89,55.89,39
00:48:02,0.62,142.0,1.85,55.89,39
00:48:22,0.77,142.6,1.78,55.90,39
00:48:42,0.74,142.9,1.81,55.95,39
00:49:02,0.80,142.7,1.84,55.89,39
00:49:22,0.77,143.3,1.79,55.90,39
00:49:42,0.60,143.0,1.89,55.88,39
00:50:02,0.70,142.4,1.79,55.89,39
00:50:22,0.68,142.5,1.85,55.88,39
00:50:42,0.76,142.6,1.72,55.90,39
00:51:02,0.66,142.1,1.77,55.92,39
00:51:22,0.75,142.6,1.74,55.90,39
